origin,Ship,class,names,ages,date_DISEMBARKED,gender,race,occupation,destination,deck
Southampton,Olympic,Third,"Lynzie, Medina",10,1912-04-17,Male,Hispanic,Weaver,New York,5
Liverpool,Celtic,Third,"Jason, Santillan",33,1912-04-20,Male,Black,Mason,New York,4
Southampton,Titanic,Third,"Audrey, Ebel",16,1912-04-20,Male,Black,Tailor,New York,2
Liverpool,Mauretania,Second,"Christian, Rodrukkwun",15,1912-04-18,Female,Other,Merchant,New York,2
Liverpool,Celtic,Third,"Daniel, Newbern",44,1912-04-18,Male,White,Blacksmith,New York,1
Liverpool,Lusitania,First,"Garrett, Emm",1,1912-04-17,Female,Asian,Shoemaker,Cherbourg,4
Liverpool,Carpathia,Second,"Kevin, Naylon",16,1912-04-18,Male,Asian,Tailor,New York,1
Liverpool,Lusitania,Second,"Hannah, Canaday",13,1912-04-15,Female,Other,Tailor,New York,1
Southampton,Britannic,Second,"Lindsey, Holiday",3,1912-04-16,Female,Asian,Carpenter,New York,1
Liverpool,Lusitania,Third,"Farhaana, Al-ramin",72,1912-04-20,Female,Asian,None,New York,3
Southampton,Britannic,First,"Jacob, Yates",83,1912-04-18,Male,Hispanic,Miner,New York,2
Liverpool,Adriatic,First,"Suwailim, Al-hallal",26,1912-04-20,Male,Black,Mason,New York,3
Liverpool,Baltic,Third,"April, Sanders",87,1912-04-16,Male,White,Carpenter,New York,2
Liverpool,Mauretania,First,"Valerie, Dedera",48,1912-04-16,Male,Asian,Farmer,New York,3
Southampton,Titanic,Second,"Eddy, Meadows",37,1912-04-19,Male,Black,Merchant,New York,1
Liverpool,Baltic,First,"Tareia, Jones",98,1912-04-16,Male,White,Weaver,New York,2
Liverpool,Mauretania,First,"Taqiyya, El-eid",10,1912-04-17,Male,Hispanic,Miner,Cherbourg,3
Southampton,Titanic,Third,"Sepehr, Essad",3,1912-04-18,Male,White,None,New York,3
Liverpool,Aquitania,First,"Andrew, Chavarria",63,1912-04-16,Female,Asian,None,New York,2
Southampton,Britannic,First,"Armaan, Andrew",1,1912-04-16,Male,Asian,Blacksmith,New York,1
Southampton,Britannic,Second,"Peter, Duncan",24,1912-04-15,Female,Other,Weaver,New York,4
Liverpool,Celtic,Second,"Naasiruddeen, El-maroun",NA-,1912-04-17,Male,Other,Merchant,New York,2
Southampton,Britannic,Third,"Michael, Anderstrom",47,1912-04-16,Male,Black,Miner,New York,3
Southampton,Olympic,Third,"Fateena, El-akhter",16,1912-04-18,Female,White,Shoemaker,New York,5
Liverpool,Mauretania,Third,"Philip, Wood",3,1912-04-20,Male,Hispanic,Blacksmith,New York,2
Liverpool,Carpathia,Third,"Jenna, Oh",0,1912-04-18,Female,Hispanic,Mason,New York,1
Liverpool,Celtic,Third,"Austin, Bird",33,1912-04-20,Female,Hispanic,Weaver,New York,5
Southampton,Olympic,Second,"Rachel, Welch",3,1912-04-18,Male,Asian,Tailor,New York,4
Liverpool,Lusitania,First,"Richard, Pinto",57,1912-04-15,Male,Other,Shoemaker,New York,5
Liverpool,Adriatic,Second,"Michael, Youngblood",79,1912-04-16,Male,Hispanic,Miner,Cherbourg,1
Liverpool,Aquitania,Third,"Taylor, Lackey",37,1912-04-18,Female,White,Farmer,New York,2
Liverpool,Celtic,Third,"Nadeera, Al-saeed",8,1912-04-15,Female,Asian,Baker,New York,1
Southampton,Britannic,Second,"Christopher, Hatchett",40,1912-04-20,Male,Black,Miner,New York,5
Liverpool,Aquitania,Second,"Alexia, Palma",22,1912-04-18,Female,Asian,Blacksmith,New York,3
Liverpool,Aquitania,Second,"Doncey, Romero",16,1912-04-16,Male,White,Blacksmith,New York,5
Southampton,Olympic,Second,"Sean, Chavez",59,1912-04-18,Male,Black,Merchant,New York,2
Southampton,Britannic,Second,"Laura, Fleecs",17,1912-04-18,Female,Other,Baker,New York,4
Liverpool,Mauretania,Third,"Kolten, Farmer",4,1912-04-15,Male,White,Shoemaker,New York,5
Liverpool,Carpathia,Third,"Adam, Kim",7,1912-04-17,Male,Hispanic,Farmer,Cherbourg,2
Southampton,Britannic,Second,"Ibrahim, Smoot",67,1912-04-18,Female,White,Shoemaker,New York,2
Liverpool,Carpathia,Third,"Najeeb, Al-shariff",7,1912-04-15,Female,Hispanic,Carpenter,New York,2
Southampton,Olympic,First,"Nicholas, Livingston",90,1912-04-19,Female,Asian,Farmer,New York,4
Liverpool,Carpathia,First,"Shawnia, Liggett",NA-,1912-04-17,Female,Asian,Farmer,New York,3
Liverpool,Baltic,Third,"Javan, Thompkins Jr",90,1912-04-15,Female,Hispanic,Farmer,New York,5
Southampton,Olympic,Second,"Angelique, Amerson",7,1912-04-15,Male,White,Carpenter,New York,4
Liverpool,Celtic,First,"Kelsey, Bell",39,1912-04-16,Female,Asian,Farmer,New York,4
Southampton,Titanic,Third,"Naasif, El-othman",8,1912-04-19,Male,White,Farmer,Cherbourg,5
Liverpool,Celtic,Second,"Najeeah, Sally",21,1912-04-19,Female,Other,Mason,New York,2
Liverpool,Celtic,Third,"Rachel, Isgar",87,1912-04-19,Male,Black,Baker,New York,4
Liverpool,Aquitania,First,"Mimi, Del Valle",70,1912-04-16,Female,Asian,Tailor,New York,4
Liverpool,Lusitania,Second,"Shameem, El-ally",8,1912-04-18,Male,White,Shoemaker,New York,4
Liverpool,Celtic,Second,"Jennifer, Jacobs",26,1912-04-15,Male,White,Weaver,New York,3
Liverpool,Celtic,Third,"Tony, Branham",97,1912-04-19,Male,Black,Merchant,New York,3
Liverpool,Aquitania,Second,"Kiana, Sawyer",19,1912-04-18,Male,White,Carpenter,New York,3
Southampton,Olympic,Third,"Bailey, Meckling",76,1912-04-15,Male,Other,Miner,New York,5
Liverpool,Carpathia,Third,"Tyler, Grams",54,1912-04-16,Male,Black,Merchant,Cherbourg,3
Liverpool,Celtic,Third,"Austin, Gonzales",27,1912-04-20,Male,White,Blacksmith,New York,5
Liverpool,Baltic,Second,"Aneesa, Al-amen",21,1912-04-17,Male,Hispanic,None,New York,3
Liverpool,Adriatic,Third,"Martin, Flores Velazquez",72,1912-04-15,Female,Asian,Mason,New York,1
Liverpool,Aquitania,Second,"Keeman, Irwin",34,1912-04-18,Female,Other,Blacksmith,New York,4
Southampton,Britannic,Third,"Savio, Mitta",81,1912-04-17,Female,Other,Blacksmith,New York,5
Liverpool,Lusitania,Third,"Samuel, Jacobi",6,1912-04-19,Male,White,Merchant,New York,2
Liverpool,Celtic,First,"Jacob, Donello",0,1912-04-15,Female,White,None,New York,5
Liverpool,Celtic,First,"Shaquasia, Reed-bankston",9,1912-04-15,Female,Hispanic,Miner,New York,2
Liverpool,Carpathia,Second,"Giovanna, Wood",61,1912-04-19,Male,Hispanic,Weaver,New York,4
Liverpool,Adriatic,Second,"Ethan, Heumann",25,1912-04-15,Male,Other,Baker,New York,3
Liverpool,Lusitania,Third,"Casey, Minor",4,1912-04-16,Female,Hispanic,Tailor,Cherbourg,2
Liverpool,Baltic,Second,"Damari, Manning Jr",27,1912-04-15,Male,Other,Shoemaker,New York,2
Liverpool,Adriatic,Second,"Kenneth, Canty",22,1912-04-20,Female,Other,Tailor,New York,2
Liverpool,Mauretania,Second,"Jasmine, Romero",29,1912-04-18,Male,Black,Blacksmith,New York,4
Liverpool,Adriatic,Second,"Hannah, Arellano",2,1912-04-19,Female,Hispanic,Miner,New York,2
Southampton,Britannic,Second,"Lea, Pisarski",73,1912-04-18,Male,Hispanic,Tailor,New York,3
Liverpool,Celtic,Second,"Asmaa, A-akbar",78,1912-04-15,Male,Hispanic,Blacksmith,Cherbourg,5
Liverpool,Mauretania,Third,"Sierra, Brown",28,1912-04-16,Female,Black,Miner,New York,2
Liverpool,Carpathia,Third,"Fabiola, Montes",75,1912-04-16,Female,Black,Tailor,New York,5
Liverpool,Carpathia,First,"Vanessa, Marquez",17,1912-04-17,Female,Hispanic,Blacksmith,New York,3
Liverpool,Celtic,First,"Peyton, Shearer",3,1912-04-15,Male,Other,Blacksmith,Cherbourg,3
Liverpool,Aquitania,First,"Samantha, Karki",44,1912-04-19,Male,Asian,Mason,New York,3
Liverpool,Aquitania,Third,"Tara, Strohl",47,1912-04-17,Male,Black,Weaver,New York,5
Southampton,Titanic,First,"Karen, Lucio Martinez",48,1912-04-16,Male,White,Mason,New York,4
Liverpool,Mauretania,Third,"Nazeeha, Al-saeed",0,1912-04-20,Male,White,Mason,New York,2
Southampton,Olympic,First,"William, Barkdoll",10,1912-04-19,Male,Hispanic,Baker,New York,4
Liverpool,Baltic,First,"Haakima, El-hussain",54,1912-04-16,Male,Hispanic,Miner,New York,5
Liverpool,Lusitania,First,"Sean, Berumen-gonzalez",75,1912-04-17,Male,Hispanic,Miner,New York,2
Liverpool,Baltic,First,"Rachael, Culpepper",77,1912-04-20,Female,Other,Weaver,New York,2
Southampton,Titanic,Second,"Derika, Robb",75,1912-04-16,Female,Other,Blacksmith,New York,4
Liverpool,Baltic,Second,"Quraish, Al-syed",1,1912-04-19,Female,Other,Mason,New York,4
Liverpool,Adriatic,Second,"Phuong, Campbell",85,1912-04-17,Male,Asian,Blacksmith,New York,1
Southampton,Titanic,Second,"Alexandria, Powell",1,1912-04-15,Male,White,Shoemaker,New York,4
Southampton,Britannic,First,"Darartu, Goosby",0,1912-04-16,Male,Black,Farmer,New York,4
Liverpool,Celtic,Third,"Brittney, Bustamante",85,1912-04-16,Female,Other,Baker,New York,2
Liverpool,Aquitania,Third,"Jarret, Higgins",65,1912-04-17,Female,Asian,Shoemaker,New York,5
Liverpool,Lusitania,Third,"Sarah, Silas",90,1912-04-17,Male,White,Mason,New York,1
Liverpool,Celtic,Second,"Paul James, Kloberdanz",93,1912-04-18,Male,Hispanic,Miner,New York,3
Liverpool,Mauretania,Third,"Derik, Frees",63,1912-04-16,Male,White,Farmer,New York,3
Liverpool,Lusitania,Second,"Saleel, Al-zia",20,1912-04-19,Female,Black,Merchant,New York,1
Liverpool,Adriatic,First,"Zaidaan, Al-shahan",16,1912-04-20,Male,Asian,Tailor,New York,5
Liverpool,Celtic,First,"Erica, Vigil",38,1912-04-18,Female,Other,Weaver,New York,3
Liverpool,Mauretania,Second,"Zachariah, Jensen",63,1912-04-16,Male,White,Shoemaker,New York,5
Liverpool,Aquitania,Second,"Eric, Arteaga",20,1912-04-16,Male,Black,Baker,New York,3
Southampton,Britannic,Second,"Allan, Grimm",61,1912-04-19,Male,Hispanic,Carpenter,New York,1
Liverpool,Lusitania,First,"Carlito, John",42,1912-04-15,Male,Hispanic,Blacksmith,New York,1
Liverpool,Carpathia,Third,"Juan, Lopez",17,1912-04-17,Male,Hispanic,Carpenter,New York,3
Liverpool,Mauretania,First,"Favio, Chavez",15,1912-04-15,Female,Asian,Miner,New York,5
Southampton,Titanic,Third,"Amanda, Thinn",11,1912-04-15,Female,White,Baker,New York,3
Liverpool,Baltic,First,"David, Mutch",8,1912-04-16,Male,Hispanic,Miner,New York,3
Liverpool,Aquitania,First,"Isaac, Flores",2,1912-04-19,Female,Hispanic,Miner,New York,2
Liverpool,Carpathia,Third,"Destinee, Thomas",8,1912-04-18,Male,Hispanic,Shoemaker,New York,2
Liverpool,Mauretania,Second,"De Jon, Kovinchick",4,1912-04-17,Male,Black,Shoemaker,Cherbourg,2
Liverpool,Adriatic,First,"Nesselle, Tesfamariam",3,1912-04-18,Male,Other,Miner,New York,5
Liverpool,Aquitania,Third,"Shaheer, Al-mussa",2,1912-04-20,Female,White,Mason,New York,5
Southampton,Olympic,Third,"Jacob, Gilmore",47,1912-04-16,Male,Other,Mason,New York,4
Liverpool,Aquitania,Second,"Naadiya, El-habeeb",25,1912-04-15,Male,White,None,New York,4
Liverpool,Aquitania,Second,"J, Campton",70,1912-04-15,Female,Black,Baker,New York,1
Liverpool,Mauretania,Third,"Zubaida, Al-salehi",1,1912-04-16,Male,White,Merchant,New York,5
Southampton,Olympic,Third,"Ahmose, Smith",67,1912-04-17,Female,Hispanic,Merchant,New York,4
Southampton,Olympic,First,"Michael, Doering",2,1912-04-19,Female,Asian,Farmer,New York,2
Southampton,Britannic,Second,"Jumaima, Al-molla",25,1912-04-19,Female,Black,Shoemaker,New York,4
Southampton,Britannic,First,"Debra, Day",2,1912-04-17,Male,Black,Merchant,Cherbourg,1
Liverpool,Aquitania,First,"Dominic, Babatunde",2,1912-04-16,Female,Asian,Weaver,New York,3
Liverpool,Celtic,Third,"Tufail, Al-asad",100,1912-04-17,Male,Other,Weaver,New York,4
Southampton,Titanic,First,"Sooraj, Daniels",42,1912-04-15,Male,White,Baker,New York,1
Southampton,Titanic,Second,"Nicholas, Castillo",6,1912-04-19,Male,Black,Tailor,New York,4
Liverpool,Adriatic,Second,"Hunter, York",47,1912-04-15,Male,White,Miner,New York,4
